개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3010000,3010000-103-1976-02299,19760922,,03,폐업,02,폐업,19960228,,,,02 7712200,256.18,100864,서울특별시 중구 태평로2가 23-0번지 ,,,갤러리바,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,197979.021229862    ,451376.783371586    ,단란주점,0,0,유흥업소밀집지역,갑,상수도전용,,,,,,,,,N,256.18,,,
3010000,3010000-103-1976-02314,19760401,,03,폐업,02,폐업,20060207,,,,02 7710500,113.88,100070,서울특별시 중구 소공동 87-1번지 ,,,나인스게이트칵텔바,2002-12-10 00:00:00,I,2018-08-31 23:59:59.0,단란주점,198172.151119488    ,451350.969223428    ,단란주점,2,3,기타,갑,상수도전용,,,,,,,,,N,113.88,,,
3010000,3010000-103-1979-02001,19790316,,03,폐업,02,폐업,19890428,,,,0207775093,38.60,100880,서울특별시 중구 흥인동 112-34번지 ,,,목마,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,,,,,0,2,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,38.6,,,
3010000,3010000-103-1980-02315,19800307,,03,폐업,02,폐업,20140325,,,,02 7561112,20.62,100021,서울특별시 중구 명동1가 6-0번지 ,,,로얄호텔 양주점빠,2011-05-25 12:30:40,I,2018-08-31 23:59:59.0,단란주점,,,단란주점,,,,,,,,,,,,,,N,20.62,,,
3010000,3010000-103-1984-02002,19840511,,01,영업/정상,01,영업,,,,,0207530812,45.26,100868,서울특별시 중구 황학동 30-1번지 ,,,사물놀이,2000-04-06 00:00:00,I,2018-08-31 23:59:59.0,단란주점,,,단란주점,1,2,학교정화(상대),지도,상수도전용,,,,,,,,,N,45.26,,,
3010000,3010000-103-1987-02266,19870911,,03,폐업,02,폐업,20001110,,,,0222662159,56.38,100282,서울특별시 중구 인현동2가 73-1번지 ,,,연가단란주점,2000-11-15 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199550.506270874    ,451392.219693582    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,56.38,,,
3010000,3010000-103-1993-02335,19931202,,03,폐업,02,폐업,20000309,,,,0222317417,82.84,100819,서울특별시 중구 신당동 110-7번지 ,,,명승지,2000-03-23 00:00:00,I,2018-08-31 23:59:59.0,단란주점,201493.81751023     ,451443.482518591    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,82.84,,,
3010000,3010000-103-1993-02336,19931204,,01,영업/정상,01,영업,,,,,0222781148,43.38,100195,서울특별시 중구 을지로5가 274-1번지 274-20 ,서울특별시 중구 동호로35길 5 (을지로5가,274-20),04547,태양비지니스크럽,2000-10-06 00:00:00,I,2018-08-31 23:59:59.0,단란주점,200110.335302043    ,451549.054429182    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,43.38,,,
3010000,3010000-103-1993-02337,19931204,,03,폐업,02,폐업,19940530,,,,0207719300,35.66,100080,서울특별시 중구 북창동 123-0번지 ,,,걸어서하늘까지,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,197952.691760682    ,451017.505488822    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,35.66,,,
3010000,3010000-103-1993-02338,19931206,,03,폐업,02,폐업,20010808,,,,02,124.94,100861,서울특별시 중구 충무로2가 49-6번지 ,,,바나실,2001-08-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199062.689440174    ,451135.423672651    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,124.94,,,
3010000,3010000-103-1993-02339,19931209,,03,폐업,02,폐업,20001228,,,,02 3638538,52.51,100858,서울특별시 중구 중림동 69-8번지 ,,,한마당,2000-12-28 00:00:00,I,2018-08-31 23:59:59.0,단란주점,197192.810434102    ,450712.225514523    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,52.51,,,
3010000,3010000-103-1993-02340,19931209,,03,폐업,02,폐업,19980302,,,,02 2363481,67.20,100834,서울특별시 중구 신당동 421-5번지 ,,,아마죤,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,200795.446200486    ,450465.952015       ,단란주점,0,0,기타,을,상수도전용,,,,,,,,,N,67.2,,,
3010000,3010000-103-1993-02341,19931211,,03,폐업,02,폐업,19990616,,,,0222531357,118.80,100834,서울특별시 중구 신당동 421-4번지 ,,,자유인,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,200787.981228008    ,450482.307146327    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,118.8,,,
