개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,욕실수,발한실여부,좌석수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부
3010000,3010000-201-1949-00071,19490705,,03,폐업,02,폐업,20060327,,,,7579632,165.00,100800,서울특별시 중구 남대문로5가 14-5번지 ,,,궁전여관,2005-03-23 00:00:00,I,2018-08-31 23:59:59.0,여관업,197682.585998819    ,450645.119698205    ,여관업,0,0,0,0,0,0,0,0,0,Y,0,,,,자가,0,0,0,0,0,N
3010000,3010000-201-1960-00012,19601208,,03,폐업,02,폐업,19940613,,,,02   00000,.00,100420,서울특별시 중구 무학동 28-0번지 ,,,동화,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1960-00023,19601230,,03,폐업,02,폐업,19950926,,,,0200000000,.00,100330,서울특별시 중구 주교동 111-0번지 ,,,황평,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1960-00053,19601230,,03,폐업,02,폐업,20030226,,,,0222785000,.00,100193,서울특별시 중구 을지로3가 291-45번지 ,,,을지장,2003-04-09 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,10,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1960-00058,19601230,,01,영업/정상,01,영업,,,,,0222654186,165.00,100340,서울특별시 중구 산림동 84-4번지 ,서울특별시 중구 창경궁로5가길 27-4 (산림동),04545,화성여관,2017-11-29 10:17:39,I,2018-08-31 23:59:59.0,여관업,199652.811107841    ,451759.471841771    ,여관업,2,0,0,0,0,0,1,11,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1960-00061,19601230,,01,영업/정상,01,영업,,,,,02   7750202,75.00,100874,서울특별시 중구 회현동1가 185-2,서울특별시 중구 퇴계로8길 2-1 (회현동1가),04634,명동 킹콩호텔(KingKong Hotel),2022-12-27 16:16:20,U,2021-11-01 22:09:00.0,여관업,198152.671298341,450753.48481139,,,,,,,,,,,,,,,,,,,,,,
3010000,3010000-201-1960-00116,19601228,,03,폐업,02,폐업,20061204,,,,0222528450,72.27,100825,서울특별시 중구 신당동 310-11번지 ,,,보성여관,2005-03-23 00:00:00,I,2018-08-31 23:59:59.0,여관업,201153.401705963    ,450815.261509589    ,여관업,1,0,0,0,0,0,0,10,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1960-00140,19601228,,03,폐업,02,폐업,20030226,,,,0200000000,45.08,100450,서울특별시 중구 신당동 95-8번지 ,,,남양,2003-04-09 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1960-00174,19601230,,03,폐업,02,폐업,19980728,,,,0200000000,.00,100022,서울특별시 중구 명동2가 94-1번지 ,,,자현,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1960-00184,19601230,,01,영업/정상,01,영업,,,,,02 7778553,280.77,100051,서울특별시 중구 회현동1가 70-0번지 ,서울특별시 중구 퇴계로10길 20-3 (회현동1가),04634,미도호텔,2017-11-29 10:45:54,I,2018-08-31 23:59:59.0,여관업,198214.783837098    ,450689.354073285    ,여관업,4,0,0,0,0,0,0,32,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1960-00214,19601022,,03,폐업,02,폐업,20150825,,,,0222687111,4,170.00,100260,서울특별시 중구 남학동 13-2번지 ,서울특별시 중구 퇴계로 176 (남학동),04627,아스토리아호텔,2012-06-19 15:37:02,I,2018-08-31 23:59:59.0,관광호텔,199161.113140526    ,450949.233944936    ,관광호텔,7,0,0,7,0,0,0,94,0,Y,0,,,,자가,0,0,0,0,0,N
3010000,3010000-201-1961-00152,19611110,,03,폐업,02,폐업,20160801,,,,02 7777491,464.76,100095,서울특별시 중구 남대문로5가 218-0번지 ,서울특별시 중구 세종대로2길 17 (남대문로5가),,금강여관,2011-08-17 15:17:10,I,2018-08-31 23:59:59.0,여관업,197673.516209106    ,450589.684591829    ,여관업,0,0,0,0,0,0,3,17,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1962-00084,19620101,,03,폐업,02,폐업,20050916,,,,02 7559938,.00,100051,서울특별시 중구 회현동1가 14-2번지 ,,,동화여관,2005-09-20 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,2,0,0,0,0,0,0,11,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1962-00227,19621201,,03,폐업,02,폐업,20050207,,,,02 7772560,.00,100800,서울특별시 중구 남대문로5가 12-21번지 ,,,홍성여관,2003-04-11 00:00:00,I,2018-08-31 23:59:59.0,여관업,197635.720681925    ,450625.257315368    ,여관업,3,0,0,0,0,0,0,7,0,N,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1963-00031,19631118,,03,폐업,02,폐업,19950501,,,,02   00000,.00,100095,서울특별시 중구 남대문로5가 12-15번지 ,,,유성,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1963-00078,19630401,,03,폐업,02,폐업,20220721,,,,02 7548833,202.58,100051,서울특별시 중구 회현동1가 76-4,서울특별시 중구 퇴계로4길 52-19 (회현동1가),04633,대도여관,2022-07-21 13:07:07,U,2021-12-06 22:03:00.0,여관업,198264.056595346,450625.16972194,,,,,,,,,,,,,,,,,,,,,,
3010000,3010000-201-1963-00113,19630828,,03,폐업,02,폐업,20080612,,,,02 7779501,341.55,100051,서울특별시 중구 회현동1가 37-10번지 ,,,신민장여관,2007-05-08 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,3,0,0,0,0,0,0,18,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1963-00128,19631223,,03,폐업,02,폐업,20070117,,,,7521998,95.06,100051,서울특별시 중구 회현동1가 14-5번지 ,,,남궁여관,2010-08-30 11:16:17,I,2018-08-31 23:59:59.0,여관업,,,여관업,2,0,0,2,0,0,0,11,0,Y,0,,,,임대,0,0,0,0,0,N
3010000,3010000-201-1963-00131,19631029,,03,폐업,02,폐업,19950501,,,,02   00000,.00,100060,서울특별시 중구 남창동 205-40번지 ,,,천일장,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1963-00141,19631201,,03,폐업,02,폐업,19950501,,,,02   00000,.00,100102,서울특별시 중구 태평로2가 301-0번지 ,,,동성,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1963-00176,19630420,,03,폐업,02,폐업,20210115,,,,02 7550993,485.94,100873,서울특별시 중구 회현동1가 74-1 ,서울특별시 중구 퇴계로10길 36 (회현동1가),04633,뉴썬게스트하우스,2021-01-15 15:31:26,U,2021-01-17 02:40:00.0,여관업,198265.41126509     ,450642.48977342     ,여관업,4,1,1,3,0,0,2,18,0,Y,0,,,,임대,0,0,0,0,0,N
3010000,3010000-201-1963-00189,19630626,,01,영업/정상,01,영업,,,,,02  778 5555,4,412.00,100011,서울특별시 중구 충무로1가 23-1번지 ,서울특별시 중구 명동8나길 10 (충무로1가),04536,사보이 호텔,2017-11-29 14:56:30,I,2018-08-31 23:59:59.0,관광호텔,198543.644700379    ,451049.580620366    ,관광호텔,8,1,1,8,0,0,0,103,0,Y,0,,,,자가,0,0,0,0,0,N
3010000,3010000-201-1963-00213,19630310,,01,영업/정상,01,영업,,,,,0221763121,4,274.81,100845,서울특별시 중구 을지로2가 199-33번지 ,서울특별시 중구 명동9가길 14 (을지로2가),04534,메트로호텔,2017-11-29 14:56:06,I,2018-08-31 23:59:59.0,관광호텔,198492.801933133    ,451427.348965871    ,관광호텔,8,1,0,0,0,0,0,75,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1964-00024,19640713,,03,폐업,02,폐업,19950501,,,,02   00000,.00,100400,서울특별시 중구 쌍림동 219-0번지 ,,,삼화,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1964-00054,19641007,,03,폐업,02,폐업,19951027,,,,0200000000,.00,100161,서울특별시 중구 봉래동1가 100-0번지 ,,,남궁,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,여관업,,,여관업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1964-00103,19641124,,01,영업/정상,01,영업,,,,,0222386985,72.90,100869,서울특별시 중구 황학동 754-0번지 3통5반 ,,,중앙여인숙,2018-11-20 11:23:38,U,2018-11-22 02:36:26.0,여인숙업,201540.899631646    ,451623.103928058    ,여인숙업,2,0,0,0,0,0,10,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1964-00153,19640608,,03,폐업,02,폐업,20140417,,,,22757331,466.60,100195,서울특별시 중구 을지로5가 19-13번지 ,서울특별시 중구 을지로 207-5 (을지로5가),04546,그린장여관,2011-07-21 11:24:28,I,2018-08-31 23:59:59.0,여관업,200035.555256304    ,451655.611498822    ,여관업,5,0,0,5,0,0,2,22,26,Y,0,,,,자가,0,0,0,0,0,N
3010000,3010000-201-1965-00002,19651221,,03,폐업,02,폐업,19950501,,,,02   00000,.00,100290,서울특별시 중구 예관동 28-2번지 ,,,수성,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
3010000,3010000-201-1965-00007,19650710,,03,폐업,02,폐업,19930625,,,,0200000000,.00,100330,서울특별시 중구 주교동 89-0번지 ,,,제일,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,여인숙업,,,여인숙업,0,0,0,0,0,0,0,0,0,Y,0,,,,,0,0,0,0,0,N
