자치구,안심 주소,위도,경도,CCTV 수량,수정 일시
중구,02 정문,37.5564,127.0171,1,2022-12-01
중구,13 실내야구장 뒤,37.5584,127.0142,1,2022-12-01
중구,16 본관 뒤 주차장,37.5563,126.9640,1,2022-12-01
중구,16 학교후문,37.5686,126.9745,1,2022-12-01
중구,공002(손기정로 101_손기정체육공원 체육생활관),37.5558,126.9641,1,2022-12-01
중구,공005(매봉18길 79,약수동 333-771,응봉근린공원-동산초교부근),37.5545,127.0170,1,2022-12-01
중구,공006(칠패로 27,순화동 9-5,순화공원 광장뒤),37.5603,126.9717,1,2022-12-01
중구,공007(칠패로 27,순화동 9-5,순화공원 펜스옆),37.5600,126.9716,1,2022-12-01
중구,공008(매봉18길 11,약수동 산55,응봉공원-약수지구대뒤편),37.5504,127.0137,1,2022-12-01
중구,공009(매봉18길 11,약수동 844-10,응봉공원),37.5488,127.0104,1,2022-12-01
중구,공010(매봉18길 11,약수동 351-104,응봉공원),37.5450,127.0082,1,2022-12-01
중구,공011(정동길 21-8,정동 15-1,정동근린공원),37.5684,126.9713,1,2022-12-01
중구,공011보1(정동길 21-8,정동 15-1,정동근린공원),37.5684,126.9713,1,2022-12-01
중구,공012(정동길 21-8,정동 15-1,정동근린공원),37.5679,126.9716,1,2022-12-01
중구,공012보1(정동길 21-8,정동 15-1,정동근린공원),37.5679,126.9716,1,2022-12-01
중구,공013(통일로 102 옆,의주로1가 44-2,의주로소공원),37.5640,126.9687,1,2022-12-01
중구,공013보1(통일로 102 옆,의주로1가 44-2,의주로소공원),37.5640,126.9687,1,2022-12-01
중구,공014(중구 남대문로10길 29 옆,삼각동 118,한빛미디어파크),37.5682,126.9849,1,2022-12-01
중구,공014보1(중구 남대문로10길 29 옆,삼각동 118,한빛미디어파크,37.5682,126.9849,1,2022-12-01
중구,공015(을지로 3길 49,다동 51-2,다동소공원),37.5682,126.9808,1,2022-12-01
중구,공015보1(을지로 3길 49,다동 51-2,다동소공원),37.5682,126.9808,1,2022-12-01
중구,공016(을지로 3길 49,다동 51-2,다동소공원 화장실 앞),37.5681,126.9807,1,2022-12-01
중구,공016보1(을지로 3길 49,다동 51-2,다동소공원 화장실 앞),37.5681,126.9807,1,2022-12-01
중구,공017(퇴계로 303-9 옆,광희동 1가 238,쌍림어린이공원),37.5643,127.0050,1,2022-12-01
중구,공017보1(퇴계로 303-9 옆,광희동 1가 238,쌍림어린이공원),37.5643,127.0050,1,2022-12-01
중구,공018(퇴계로 45길 32-12,충무로5가 21,묵정어린이공원),37.5639,127.0002,1,2022-12-01
중구,공018보1(퇴계로 45길 32-12,충무로5가 21,묵정어린이공원),37.5639,127.0002,1,2022-12-01
중구,공019(퇴계로 45길 32-12,충무로5가 21,묵정어린이공원),37.5638,126.9994,1,2022-12-01
중구,공019보1(퇴계로 45길 32-12,충무로5가 21,묵정어린이공원),37.5638,126.9994,1,2022-12-01
중구,공020(정동 34-31,배재공원),37.5642,126.9727,1,2022-12-01
중구,공020보1(정동 34-31,배재공원),37.5642,126.9727,1,2022-12-01
중구,공021(동호로 11차길 1 옆,다산동 432-517,충현어린이공원),37.5521,127.0051,1,2022-12-01
