개방자치단체코드,관리번호,영업상태명,소재지면적,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),,,,,,,
3010000,3010000-102-1904-02602,폐업,97.7,서울특별시 중구 황학동 72-0번지 ,,,한신그릴,극장식당,,,,,,,,,
3010000,3010000-102-1967-02477,영업/정상,81.8,서울특별시 중구 북창동 120-3번지 ,서울특별시 중구 남대문로1길 12 (북창동),4526,폭스,룸살롱,197956.4873,451034.3275,,,,,,,
3010000,3010000-102-1968-02422,폐업,23.4,서울특별시 중구 의주로2가 4-6번지 ,,,오비치킨,간이주점,,,,,,,,,
3010000,3010000-102-1968-02511,폐업,165.24,서울특별시 중구 중림동 123-7번지 ,,,무지개-룸싸롱,룸살롱,,,,,,,,,
3010000,3010000-102-1968-02514,폐업,208.69,서울특별시 중구 무교동 1-0번지 ,,,힐탑,룸살롱,198126.5019,451827.9732,,,,,,,
3010000,3010000-102-1970-02611,폐업,0,서울특별시 중구 의주로2가 82-0번지 ,,,회림,극장식당,,,,,,,,,
3010000,3010000-102-1971-02556,폐업,277.83,서울특별시 중구 황학동 2478-0번지 ,,,뉴관광-바,비어(바)살롱,201947.0843,451473.9642,,,,,,,
3010000,3010000-102-1971-02610,폐업,495.81,서울특별시 중구 중림동 83-5번지 ,,,영스타,극장식당,,,,,,,,,
3010000,3010000-102-1971-02629,폐업,495.81,서울특별시 중구 중림동 83-5번지 ,,,영스타,관광호텔나이트(디스코),,,,,,,,,
3010000,3010000-102-1972-02492,폐업,241.68,서울특별시 중구 광희동1가 143-1번지 ,,,보물섬,룸살롱,,,,,,,,,
3010000,3010000-102-1972-02504,폐업,108,서울특별시 중구 주교동 95-1번지 ,,,발리,룸살롱,,,,,,,,,
3010000,3010000-102-1972-02517,폐업,950.6,서울특별시 중구 인현동2가 73-1번지 ,,,풍전호텔뉴비지니스클럽,룸살롱,199550.5063,451392.2197,,,,,,,
3010000,3010000-102-1972-02524,폐업,6.8,서울특별시 중구 주교동 144-3번지 ,,,파레스,룸살롱,,,,,,,,,
3010000,3010000-102-1972-02544,폐업,352.82,서울특별시 중구 태평로1가 61-1번지 ,,,(주)코리아나호텔블루룸,비어(바)살롱,197867.1566,451779.8809,,,,,,,
3010000,3010000-102-1972-02568,폐업,245.39,서울특별시 중구 남산동2가 1-1번지 ,,,프리월드,룸살롱,198717.8245,450932.9648,,,,,,,
3010000,3010000-102-1972-02652,폐업,110.64,서울특별시 중구 충무로1가 23-1번지 ,,,구듸구듸,관광호텔나이트(디스코),198543.6447,451049.5806,,,,,,,
3010000,3010000-102-1972-02696,폐업,77.2,서울특별시 중구 무학동 47-2번지 ,,,가고파,카바레,201245.3752,451380.7262,,,,,,,
3010000,3010000-102-1973-02468,폐업,240,서울특별시 중구 정동 1-54번지 ,,,석교,요정,197636.1968,451714.0277,,,,,,,
3010000,3010000-102-1973-02507,폐업,77.3,서울특별시 중구 충무로3가 26-1번지 지상1층 ,,,빠담빠담,룸살롱,199245.6159,451201.4095,,,,,,,
3010000,3010000-102-1973-02519,폐업,86.85,서울특별시 중구 북창동 18-9번지 ,,,시드니,룸살롱,197943.5033,451186.902,,,,,,,
3010000,3010000-102-1973-02552,폐업,79,서울특별시 중구 초동 21-1번지 ,,,쿨(cool),카바레,199220.3243,451420.4332,,,,,,,
3010000,3010000-102-1973-02571,폐업,95.74,서울특별시 중구 을지로6가 18-74번지 ,,,랑데뷰,비어(바)살롱,200527.8369,451609.6902,,,,,,,
3010000,3010000-102-1973-02572,영업/정상,98.17,서울특별시 중구 흥인동 15-0 ,서울특별시 중구 퇴계로 417 (흥인동),4570,성동차차차,스텐드바,201503.8491,451514.0405,,,,,,,
