관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,WGS84위도,WGS84경도
서울특별시 중구청,서울특별시 중구 수표로 45,서울특별시 중구 저동2가 78,생활방범,37.5654,126.9891
서울특별시 중구청,서울특별시 중구 남대문로1길 16 (북창동),서울특별시 중구 북창동 118,생활방범,37.5618,126.9775
서울특별시 중구청,서울특별시 중구 을지로 35 (을지로1가),서울특별시 중구 을지로1가 101-1,생활방범,37.5667,126.9816
서울특별시 중구청,서울특별시 중구 소공로 109 (소공동),서울특별시 중구 소공동 110-1,생활방범,37.5639,126.9779
서울특별시 중구청,서울특별시 중구 다동길 43 (다동),서울특별시 중구 다동 70,생활방범,37.5680,126.9814
서울특별시 중구청,서울특별시 중구 세종대로 74 (태평로2가),서울특별시 중구 태평로2가 69-5,생활방범,37.5627,126.9766
서울특별시 중구청,서울특별시 중구 남대문로9길 39 (을지로1가),서울특별시 중구 을지로1가 42,생활방범,37.5668,126.9799
서울특별시 중구청,서울특별시 중구 무교로 32 (무교동),서울특별시 중구 무교동 1,생활방범,37.5689,126.9794
서울특별시 중구청,서울특별시 중구 소공로6길 25 (남산동1가),서울특별시 중구 남산동1가 15,생활방범,37.5585,126.9844
서울특별시 중구청,서울특별시 중구 퇴계로18길 5 (남산동2가),서울특별시 중구 남산동2가 6-1,생활방범,37.5607,126.9855
서울특별시 중구청,서울특별시 중구 소공로6가길 13 (남산동1가),서울특별시 중구 남산동1가 21-4,생활방범,37.5579,126.9841
서울특별시 중구청,서울특별시 중구 퇴계로20길 56,서울특별시 중구 남산동2가 26-8,생활방범,37.5576,126.9867
서울특별시 중구청,서울특별시 중구 퇴계로22길 17 (남산동2가),서울특별시 중구 남산동2가 2,생활방범,37.5603,126.9865
서울특별시 중구청,서울특별시 중구 소공로6나길 6 (회현동2가),서울특별시 중구 회현동2가 42-9,생활방범,37.5582,126.9837
서울특별시 중구청,서울특별시 중구 퇴계로18길 70 (남산동1가),서울특별시 중구 남산동1가 21-1,생활방범,37.5578,126.9844
서울특별시 중구청,서울특별시 중구 명동길 43 (명동1가),서울특별시 중구 명동1가 53-1,생활방범,37.5638,126.9849
서울특별시 중구청,서울특별시 중구 퇴계로20길 19 (남산동2가),서울특별시 중구 남산동2가 15-10,생활방범,37.5593,126.9860
서울특별시 중구청,서울특별시 중구 퇴계로16길 21 (남산동1가),서울특별시 중구 남산동1가 8-1,생활방범,37.5597,126.9846
서울특별시 중구청,서울특별시 중구 명동길 42 (명동2가),서울특별시 중구 명동2가 33-2,생활방범,37.5636,126.9845
서울특별시 중구청,서울특별시 중구 명동13길 14 (저동1가),서울특별시 중구 저동1가 79-5,생활방범,37.5648,126.9864
서울특별시 중구청,서울특별시 중구 소공로4길 21 (회현동2가),서울특별시 중구 회현동2가 48-19,생활방범,37.5572,126.9835
