,BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA,경도,위도
0,1003,M,199807,451669,1.11401E+18,24.34,11140590,207164,199803,451665,199811,451674,24.34,126.9957133,37.56730547
1,1001,M,199775,451627,1.11401E+18,37.2,11140590,207181,199770,451622,199780,451631,37.2,126.9953511,37.56692704
2,1001,M,199808,451657,1.11401E+18,16.2,11140590,207164,199805,451654,199811,451661,16.2,126.9957246,37.56719735
3,1003,M,199877,451664,1.11401E+18,213.64,11140590,207149,199869,451659,199884,451671,106.82,126.9965056,37.56726044
4,1003,M,199147,451773,1.11402E+18,74.9,11140605,206975,199144,451767,199150,451779,37.45,126.9882426,37.56824208
5,1001,M,199188,451785,1.11402E+18,28.24,11140605,206967,199185,451780,199192,451789,28.24,126.9887067,37.56835023
6,1001,M,202018,452029,1.11402E+18,16.6,11140670,161427,202015,452026,202022,452032,16.6,127.0207406,37.57054699
7,1001,M,202035,452063,1.11402E+18,119.48,11140670,207936,202029,452056,202041,452070,119.48,127.0209332,37.57085329
8,1001,M,202017,452070,1.11402E+18,66.17,11140670,207936,202012,452064,202022,452075,66.17,127.0207294,37.5709164
9,1001,M,202011,452080,1.11402E+18,43.33,11140670,207936,202007,452075,202014,452085,43.33,127.0206615,37.57100651
10,1001,M,202018,452081,1.11402E+18,58.64,11140670,207936,202013,452076,202023,452086,58.64,127.0207408,37.57101551
11,1001,M,202025,452080,1.11402E+18,43.18,11140670,207936,202022,452074,202029,452086,43.18,127.02082,37.57100648
12,1001,M,202031,452082,1.11402E+18,52.56,11140670,207936,202027,452077,202036,452087,52.56,127.0208879,37.57102449
13,1003,M,202010,452096,1.11402E+18,121.2,11140670,207936,202003,452090,202016,452101,60.6,127.0206503,37.57115067
14,1003,M,199895,451726,1.11401E+18,38.9,11140590,207149,199891,451723,199899,451730,19.45,126.9967094,37.56781905
15,1003,M,199941,451670,1.11402E+18,75.98,11140590,175903,199938,451664,199944,451675,37.99,126.99723,37.56731451
16,1003,M,199933,451669,1.11402E+18,217.66,11140590,175903,199927,451663,199939,451675,108.83,126.9971395,37.5673055
17,1003,M,199074,451777,1.11402E+18,52.2,11140605,206974,199071,451772,199076,451782,26.1,126.9874163,37.56827804
18,1003,M,196752,451035,1.11402E+18,349.14,11140680,208264,196746,451024,196760,451046,174.57,126.9611365,37.56158728
19,2003,M,196739,451036,1.11402E+18,662.28,11140680,208264,196732,451027,196746,451044,165.57,126.9609894,37.56159625
20,1001,M,196857,451085,1.11402E+18,75.4,11140680,208259,196850,451079,196863,451091,75.4,126.9623247,37.56203815
21,1003,M,196900,451092,1.11402E+18,126,11140680,208253,196896,451086,196904,451098,63,126.9628113,37.56210137
22,1003,M,196908,451086,1.11402E+18,9.63,11140680,208253,196906,451084,196911,451088,9.63,126.9629019,37.56204733
23,1003,M,199067,452006,1.11401E+18,243.89,11140550,206286,199061,451995,199074,452019,243.89,126.9873367,37.57034129
24,1001,M,196934,451154,1.11402E+18,37.54,11140680,208253,196930,451149,196939,451159,37.54,126.9631959,37.5626601
25,1003,M,199816,451518,1.11401E+18,154.42,11140590,207198,199809,451512,199822,451525,77.21,126.9958152,37.56594498
