BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA
01003,M,199807,451669,1114013500000520011,24.34,11140590,207164,199803,451665,199811,451674,24.34
01001,M,199775,451627,1114013400001540001,37.2,11140590,207181,199770,451622,199780,451631,37.2
01001,M,199808,451657,1114013500000520012,16.2,11140590,207164,199805,451654,199811,451661,16.2
01003,M,199877,451664,1114013500000670004,213.64,11140590,207149,199869,451659,199884,451671,106.82
01003,M,199147,451773,1114015500003440013,74.9,11140605,206975,199144,451767,199150,451779,37.45
01001,M,199188,451785,1114015500003220003,28.24,11140605,206967,199185,451780,199192,451789,28.24
01001,M,202018,452029,1114016500010750000,16.6,11140670,161427,202015,452026,202022,452032,16.6
01001,M,202035,452063,1114016500011410000,119.48,11140670,207936,202029,452056,202041,452070,119.48
01001,M,202017,452070,1114016500011480000,66.17,11140670,207936,202012,452064,202022,452075,66.17
01001,M,202011,452080,1114016500011520000,43.33,11140670,207936,202007,452075,202014,452085,43.33
01001,M,202018,452081,1114016500011510000,58.64,11140670,207936,202013,452076,202023,452086,58.64
01001,M,202025,452080,1114016500011500000,43.18,11140670,207936,202022,452074,202029,452086,43.18
01001,M,202031,452082,1114016500011400000,52.56,11140670,207936,202027,452077,202036,452087,52.56
01003,M,202010,452096,1114016500011370000,121.2,11140670,207936,202003,452090,202016,452101,60.6
01003,M,199895,451726,1114013500000300003,38.9,11140590,207149,199891,451723,199899,451730,19.45
01003,M,199941,451670,1114015400000690050,75.98,11140590,175903,199938,451664,199944,451675,37.99
01003,M,199933,451669,1114015400000690050,217.66,11140590,175903,199927,451663,199939,451675,108.83
01003,M,199074,451777,1114016100000790016,52.2,11140605,206974,199071,451772,199076,451782,26.1
01003,M,196752,451035,1114017100003980004,349.14,11140680,208264,196746,451024,196760,451046,174.57
02003,M,196739,451036,1114017100003980003,662.28,11140680,208264,196732,451027,196746,451044,165.57
01001,M,196857,451085,1114017100006250000,75.4,11140680,208259,196850,451079,196863,451091,75.4
01003,M,196900,451092,1114017100001720000,126,11140680,208253,196896,451086,196904,451098,63
01003,M,196908,451086,1114017100001720000,9.63,11140680,208253,196906,451084,196911,451088,9.63
01003,M,199067,452006,1114011000000470005,243.89,11140550,206286,199061,451995,199074,452019,243.89
01001,M,196934,451154,1114017100001560003,37.54,11140680,208253,196930,451149,196939,451159,37.54
01003,M,199816,451518,1114013500001230000,154.42,11140590,207198,199809,451512,199822,451525,77.21
01001,M,199762,451548,1114013500001280007,30.03,11140590,207198,199758,451543,199767,451552,30.03
01001,M,196950,451161,1114017100001560018,21.4,11140680,208253,196946,451156,196953,451165,21.4
01001,M,196961,451150,1114017100001560088,26.83,11140680,208251,196957,451146,196965,451154,26.83
01001,M,196954,451142,1114017100001560096,33.2,11140680,208253,196949,451137,196960,451148,33.2
01001,M,196969,451148,1114017100001560114,57.09,11140680,208251,196963,451142,196975,451154,57.09
01001,M,196958,451139,1114017100001560022,40.94,11140680,208253,196953,451134,196964,451144,40.94
01001,M,196963,451135,1114017100001560023,29.11,11140680,208253,196959,451130,196968,451139,29.11
01001,M,197378,451437,1114016800000060015,49.55,11140520,206662,197372,451433,197384,451442,49.55
01001,M,200352,451705,1114014500002810001,66.62,11140590,207160,200346,451698,200358,451711,66.62
01001,M,200408,451714,1114014500000830003,19.41,11140590,207090,200405,451710,200410,451717,19.41
01003,M,199827,451676,1114013500000450001,444.64,11140590,207164,199815,451670,199838,451686,222.32
01001,M,199767,451671,1114013500000530004,7.95,11140590,207164,199765,451668,199769,451674,7.95
01001,M,199763,451674,1114013500000530004,22.02,11140590,207164,199758,451670,199767,451678,22.02
01003,M,200499,451702,1114014500001060002,235.2,11140590,207144,200494,451695,200504,451710,78.4
01001,M,200513,451720,1114014500001180000,39.45,11140590,207144,200509,451715,200517,451724,39.45
01001,M,200514,451728,1114014500001190000,49,11140590,207144,200509,451723,200518,451733,49
01003,M,199865,451759,1114013500000240007,76.48,11140590,207149,199861,451755,199870,451764,38.24
01003,M,199860,451763,1114013500000240007,56.96,11140590,207149,199857,451757,199863,451767,28.48
01001,M,200513,451751,1114014500001220000,20.69,11140590,207144,200511,451747,200516,451755,20.69
01003,M,200600,451727,1114014500001820011,96.16,11140590,207153,200595,451722,200606,451732,48.08
01003,M,199893,451774,1114013500000240006,98.42,11140590,207149,199888,451769,199898,451780,49.21
01003,M,199879,451751,1114013500000240018,77.56,11140590,207149,199874,451746,199884,451756,38.78
01003,M,199809,451814,1114015000002140000,136.1,11140605,206957,199802,451807,199816,451821,68.05
01003,M,202322,451705,1114016200004440000,26.77,11140650,208040,202318,451701,202326,451708,26.77
01001,M,199851,451358,1114013300000780005,11.68,11140570,206777,199848,451355,199853,451362,11.68
01003,M,199796,451323,1114013300000860003,62.64,11140570,206777,199791,451318,199800,451329,31.32
01003,M,199793,451327,1114013300000860002,85.56,11140570,206777,199788,451321,199798,451333,42.78
