,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,고가도로,지하철네트워크,교량,터널,육교,횡단보도,"공원,녹지",건물내,행정동코드
0,NODE,POINT(127.00138520146373 37.568187437157185),66847,0,,0,,,,,1114000000,중구,1114015200,주교동,,,,,0,0,,,11140605
1,NODE,POINT(127.01697814071575 37.56762896761354),127069,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615
2,NODE,POINT(127.02195932653572 37.56805381260861),9440,0,,0,,,,,1114000000,중구,1114016500,황학동,,,,,0,1,,,11140670
3,NODE,POINT(126.97646615812025 37.55427380378025),10380,0,,0,,,,,1114000000,중구,1114011800,남대문로5가,,,,,0,0,,,11140540
4,NODE,POINT(127.01917432263897 37.56617541509709),9255,0,,0,,,,,1114000000,중구,1114016500,황학동,,,,,0,0,,,11140670
5,NODE,POINT(126.96329524184776 37.55797263212856),9627,0,,0,,,,,1114000000,중구,1114017100,중림동,,,,,0,0,,,11140680
6,NODE,POINT(127.01702962175149 37.56724160092801),9254,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615
7,NODE,POINT(127.01255341746193 37.55056278923219),127054,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
8,LINK,,0,,LINESTRING(126.98317591161188 37.56130349138964126.98341451626305 37.56133098752959126.98413320173434 37.56143407022657),162255,1111,6314,6316,85.822,1114000000,중구,1114012400,충무로1가,0,0,0,0,0,0,0,0,11140550
9,NODE,POINT(126.96343051064102 37.55763279780897),9626,0,,0,,,,,1114000000,중구,1114017100,중림동,,,,,0,0,,,11140680
10,NODE,POINT(127.01755901845983 37.568111762302394),54518,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615
11,NODE,POINT(127.00982529906851 37.55910733994987),8359,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
12,NODE,POINT(127.00834858597608 37.56722029605638),8172,2,,0,,,,,1114000000,중구,1114014800,을지로6가,,,,,0,0,,,11140590
13,NODE,POINT(127.01512179698383 37.558116940399856),126468,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
14,NODE,POINT(127.00532952247566 37.547347825043495),74429,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
15,NODE,POINT(127.02039220120989 37.56640607831449),127425,0,,0,,,,,1114000000,중구,1114016500,황학동,,,,,0,0,,,11140670
16,NODE,POINT(126.97973386243964 37.5539373068224),74430,0,,0,,,,,1114000000,중구,1114011800,남대문로5가,,,,,1,1,,,11140540
17,NODE,POINT(127.02037927016464 37.56733549775411),127426,0,,0,,,,,1114000000,중구,1114016500,황학동,,,,,0,0,,,11140670
18,NODE,POINT(127.00564326481101 37.568861282180116),74432,0,,0,,,,,1114000000,중구,1114014800,을지로6가,,,,,0,0,,,11140590
19,NODE,POINT(127.0157856946975 37.5573616375787),126422,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
20,NODE,POINT(127.00471647218917 37.55292970800542),75489,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
21,NODE,POINT(126.97327666547302 37.55667199350813),9631,0,,0,,,,,1114000000,중구,1114011800,남대문로5가,,,,,0,0,,,11140540
22,NODE,POINT(127.00484583120993 37.553025821236474),75490,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
23,NODE,POINT(127.01612213394097 37.55783531848293),126421,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
24,NODE,POINT(127.00432551865694 37.55257271150413),75491,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
25,NODE,POINT(127.01694663469925 37.568157622375956),127427,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615
26,NODE,POINT(127.02288896582871 37.571275884089054),75492,0,,0,,,,,1114000000,중구,1114016500,황학동,,,,,0,0,,,11140670
27,NODE,POINT(126.97911888026745 37.55332616090429),10384,0,,0,,,,,1114000000,중구,1114011800,남대문로5가,,,,,0,0,,,11140540
28,LINK,,0,,LINESTRING(127.00006984590016 37.567561532528835127.00007059821776 37.5674253356364127.00016835036844 37.56742075847873),189443,1111,10567,10568,23.767,1114000000,중구,1114015200,주교동,0,0,0,0,0,0,0,0,11140605
29,NODE,POINT(127.00938238104321 37.5574527666814),8328,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
30,NODE,POINT(127.00584780767774 37.56927540677632),74433,0,,0,,,,,1114000000,중구,1114014800,을지로6가,,,,,0,0,,,11140590
31,NODE,POINT(127.0168258458476 37.568002019674765),127428,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615
32,NODE,POINT(127.01724477602764 37.56725010758942),9253,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615
33,NODE,POINT(127.006723973425 37.546381834275984),127431,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
