,개방자치단체코드,관리번호,영업상태명,소재지면적,소재지우편번호,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
0,3010000,3010000-201-1960-00058,영업/정상,165,100340,서울특별시 중구 산림동 84-4번지 ,서울특별시 중구 창경궁로5가길 27-4 (산림동),화성여관,여관업,199652.8111,451759.4718,126.993968,37.56812055
1,3010000,3010000-201-1960-00061,영업/정상,75,100874,서울특별시 중구 회현동1가 185-2,서울특별시 중구 퇴계로8길 2-1 (회현동1가),명동 킹콩호텔(KingKong Hotel),여관업,198152.6713,450753.4848,126.9769903,37.55905483
2,3010000,3010000-201-1960-00184,영업/정상,280.77,100051,서울특별시 중구 회현동1가 70-0번지 ,서울특별시 중구 퇴계로10길 20-3 (회현동1가),미도호텔,여관업,198214.7838,450689.3541,126.9776934,37.55847715
3,3010000,3010000-201-1963-00189,영업/정상,4,412,100011,서울특별시 중구 충무로1가 23-1번지 ,4536,00:59:59,198543.6447,451049.5806,126.9814146,37.56172335
4,3010000,3010000-201-1963-00213,영업/정상,4,274.81,100845,서울특별시 중구 을지로2가 199-33번지 ,4534,00:59:59,198492.8019,451427.349,126.9808384,37.56512692
5,3010000,3010000-201-1964-00103,영업/정상,72.9,100869,서울특별시 중구 황학동 754-0번지 3통5반 ,,중앙여인숙,여인숙업,201540.8996,451623.1039,127.0153393,37.5668908
6,3010000,3010000-201-1965-00143,영업/정상,205,100041,서울특별시 중구 남산동1가 12-2,서울특별시 중구 퇴계로18길 30 (남산동1가),동도모텔,여관업,198597.2451,450804.502,126.9820218,37.5595153
7,3010000,3010000-201-1965-00145,영업/정상,97.5,100-350,서울특별시 중구 입정동 167-0,서울특별시 중구 충무로 68-9 (입정동),옥천여관,여관업,199306.7514,451681.6645,126.9900509,37.5674193
8,3010000,3010000-201-1965-00151,영업/정상,218.97,100300,서울특별시 중구 초동 51-5번지 ,서울특별시 중구 마른내로2길 15-16 (초동),명보여관,여관업,199263.2013,451237.7971,126.9895585,37.56342007
9,3010000,3010000-201-1966-00083,영업/정상,309.74,100834,서울특별시 중구 신당동 374-10번지 ,서울특별시 중구 다산로 131 (신당동),프린스,여관업,200885.2988,450378.9843,127.0079172,37.55568224
10,3010000,3010000-201-1966-00146,영업/정상,138.6,100197,서울특별시 중구 을지로7가 18-9번지 ,서울특별시 중구 퇴계로 343-12 (을지로7가),백금여관,여관업,200817.2579,451412.5276,127.0071482,37.56499441
11,3010000,3010000-201-1966-00218,영업/정상,3,146,100053,서울특별시 중구 회현동3가 10번지 ,4631,00:59:59,198491.235,450895.8551,126.9808218,37.56033821
12,3010000,3010000-201-1966-00222,영업/정상,265.2,100260,서울특별시 중구 남학동 14-1 1~3층,서울특별시 중구 퇴계로28길 6-3 (남학동,4627,00:05:00,199153.0651,450932.4883,126.9883123,37.56066917
13,3010000,3010000-201-1967-00064,영업/정상,80.59,100440,서울특별시 중구 황학동 1214-0번지 ,서울특별시 중구 마장로14길 2 (황학동),인득여관,여관업,201803.0656,451745.1131,127.018307,37.56798963
14,3010000,3010000-201-1968-00106,영업/정상,93.06,100873,서울특별시 중구 회현동1가 127-2번지 ,서울특별시 중구 퇴계로12길 45-1 (회현동1가),동원여관,여관업,198314.2907,450598.2972,126.9788198,37.55765693
15,3010000,3010000-201-1968-00108,영업/정상,164.33,100043,서울특별시 중구 남산동3가 17번지 ,서울특별시 중구 퇴계로24길 12 (남산동3가),명동게스트하우스 꼬모,여관업,198800.1267,450904.6829,126.9843178,37.56041822
16,3010000,3010000-201-1968-00220,영업/정상,7,691,100012,서울특별시 중구 충무로2가 61-3 ,4537,00:40:00,198866.3649,451021.051,126.9850673,37.56146678
17,3010000,3010000-201-1969-00208,영업/정상,1,36,100101,서울특별시 중구 태평로1가 29-1번지 ,4520,00:59:59,198000.9672,451745.0255,126.9752705,37.56798818
18,3010000,3010000-201-1969-00216,영업/정상,4,762.61,100042,서울특별시 중구 남산동2가 1-1번지 ,4629,00:59:59,198717.8245,450932.9648,126.9833862,37.56067293
19,3010000,3010000-201-1970-00085,영업/정상,513.46,100861,서울특별시 중구 충무로2가 51-10,서울특별시 중구 수표로 3-8 (충무로2가),KW호스텔 명동,여관업,199045.5718,451036.1792,126.9870955,37.5616033
20,3010000,3010000-201-1970-00132,영업/정상,93,100450,서울특별시 중구 신당동 281-34번지 ,서울특별시 중구 다산로42나길 53-1 (신당동),S(에스)모텔,여관업,201481.7732,451082.3126,127.014669,37.56201843
21,3010000,3010000-201-1970-00169,영업/정상,162.63,100869,서울특별시 중구 황학동 714번지 ,서울특별시 중구 퇴계로 439-4 (황학동),마이더스여관,여관업,201766.3545,451514.1944,127.0178909,37.56590915
22,3010000,3010000-201-1970-00188,영업/정상,2,478,100070,서울특별시 중구 소공동 87 ,4533,00:40:00,198172.1511,451350.9692,126.9772092,37.56443814
23,3010000,3010000-201-1970-00203,영업/정상,11,53,100282,서울특별시 중구 인현동2가 73-1 외2 ,외2),U,199550.5063,451392.2197,126.9928102,37.5648116
24,3010000,3010000-201-1970-00219,영업/정상,2,450.55,100873,서울특별시 중구 회현동1가 65번지 ,4632,00:59:59,198249.7588,450711.483,126.9780892,37.55867659
25,3010000,3010000-201-1970-00226,영업/정상,92,100819,서울특별시 중구 신당동 121-21 ,서울특별시 중구 퇴계로80길 13-9 (신당동),은성여관,여관업,201557.6538,451387.552,127.0155284,37.56476848
26,3010000,3010000-201-1971-00077,영업/정상,377.53,100873,서울특별시 중구 회현동1가 89-2,서울특별시 중구 퇴계로10길 20-8,4634,00:04:00,198189.5766,450677.4401,126.9774081,37.55836975
27,3010000,3010000-201-1971-00175,영업/정상,271.44,100-450,서울특별시 중구 신당동 366-125,서울특별시 중구 다산로 58 (신당동),세포장모텔,여관업,200615.9462,449705.529,127.0048683,37.54961467
28,3010000,3010000-201-1972-00204,영업/정상,11,271,100101,서울특별시 중구 태평로1가 61-1 ,4519,00:40:00,197870.4224,451786.4126,126.9737927,37.56836077
29,3010000,3010000-201-1973-00160,영업/정상,577,100051,서울특별시 중구 회현동1가 133-1번지 ,서울특별시 중구 소공로3길 42 (회현동1가),힐하우스 호텔,일반호텔,198336.7335,450504.1042,126.979074,37.5568083
30,3010000,3010000-201-1973-00166,영업/정상,151.84,100273,서울특별시 중구 필동3가 5-1번지 5층 ,서울특별시 중구 서애로 22-1 (필동3가,4624,00:59:59,199681.3973,450929.4385,126.994292,37.56064206
31,3010000,3010000-201-1973-00178,영업/정상,198.55,100411,서울특별시 중구 광희동1가 155-0번지 ,서울특별시 중구 을지로44길 24-4 (광희동1가),에비뉴모텔,여관업,200480.794,451428.2995,127.0033399,37.56513673
32,3010000,3010000-201-1973-00206,영업/정상,10,571,100191,서울특별시 중구 을지로1가 188-3번지 ,4533,00:59:59,198113.3707,451483.3,126.9765435,37.5656303
33,3010000,3010000-201-1973-00224,영업/정상,103.08,100808,서울특별시 중구 만리동1가 53-16번지 ,서울특별시 중구 만리재로35길 46-14 (만리동1가),호수모텔,여관업,197087.4804,450515.2054,126.9649356,37.55690513
34,3010000,3010000-201-1974-00162,영업/정상,294.4,100-330,서울특별시 중구 주교동 106-2,서울특별시 중구 을지로27길 31-2 (주교동),트래블러스 A 코리아 호스텔,여관업,199833.6667,451787.6268,126.9960151,37.56837429
35,3010000,3010000-201-1974-00217,영업/정상,1,224,100195,서울특별시 중구 을지로5가 133-1번지 ,4561,00:59:59,200225.9831,451511.2628,127.0004557,37.5658843
36,3010000,3010000-201-1974-00225,영업/정상,195.22,100300,서울특별시 중구 초동 52-1번지 ,서울특별시 중구 마른내로2길 15-10 (초동),럭키장여관,여관업,199254.839,451254.7186,126.9894638,37.56357252
37,3010000,3010000-201-1975-00138,영업/정상,164.33,100080,서울특별시 중구 북창동 65-1번지 ,서울특별시 중구 세종대로14길 22-2 (북창동),대우모텔,여관업,197976.8515,451162.428,126.9749992,37.56273898
38,3010000,3010000-201-1975-00209,영업/정상,3,776,100042,서울특별시 중구 남산동2가 31-1번지 ,4631,00:59:59,198644.069,450827.8618,126.9825517,37.55972585
39,3010000,3010000-201-1976-00049,영업/정상,324.9,100360,서울특별시 중구 중림동 334-2번지 ,서울특별시 중구 만리재로35길 46-3 (중림동),대영장여관,여관업,197102.7608,450548.2043,126.9651084,37.5572025
40,3010000,3010000-201-1976-00098,영업/정상,196.94,100870,서울특별시 중구 황학동 840번지 ,서울특별시 중구 마장로18길 38 (황학동),대림,여관업,201959.4958,451546.2653,127.0200772,37.56619773
41,3010000,3010000-201-1976-00196,영업/정상,274.96,100440,서울특별시 중구 황학동 2504-0 ,서울특별시 중구 난계로11길 13 (황학동),크리스티,여관업,201933.9887,451520.3697,127.0197884,37.56596447
42,3010000,3010000-201-1976-00207,영업/정상,14,97,100864,서울특별시 중구 태평로2가 23 ,4525,00:40:00,197979.0212,451376.7834,126.9750232,37.56467031
43,3010000,3010000-201-1979-00124,영업/정상,111.84,100151,서울특별시 중구 충정로1가 57-0번지 ,서울특별시 중구 새문안로 28-1 (충정로1가),모텔 비,여관업,197185.1249,451712.2603,126.966036,37.56769078
44,3010000,3010000-201-1981-00057,영업/정상,352.77,100411,서울특별시 중구 광희동1가 187-2 ,서울특별시 중구 을지로44길 23 (광희동1가),필스테이 동대문,여관업,200511.77,451411.7254,127.0036905,37.56498738
45,3010000,3010000-201-1981-00125,영업/정상,161.76,100095,서울특별시 중구 남대문로5가 217-0번지 ,서울특별시 중구 세종대로2길 11 (남대문로5가),삼정여관,여관업,197650.5365,450594.258,126.9713077,37.55761904
46,3010000,3010000-201-1981-00179,영업/정상,769.26,100014,서울특별시 중구 충무로4가 155-2번지 ,서울특별시 중구 퇴계로37길 22 (충무로4가),CF,여관업,199374.9445,451101.6226,126.9908234,37.56219324
47,3010000,3010000-201-1981-00199,영업/정상,370.96,100196,서울특별시 중구 을지로6가 18-41번지 ,서울특별시 중구 을지로41길 8 (을지로6가),허브모텔,여관업,200486.7969,451608.3303,127.0034079,37.56675878
48,3010000,3010000-201-1982-00201,영업/정상,295,100871,서울특별시 중구 황학동 2513,서울특별시 중구 퇴계로 449-17 (황학동),크리스티2,여관업,201914.0679,451528.8264,127.0195629,37.5660407
49,3010000,3010000-201-1983-00062,영업/정상,240.36,100080,서울특별시 중구 북창동 94-8번지 ,서울특별시 중구 남대문로1길 26-11 (북창동),(주)디자이너스컴퍼니,여관업,197984.7399,451118.486,126.9750886,37.56234309
