,Unnamed: 0,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,고가도로,지하철네트워크,교량,터널,육교,횡단보도,"공원,녹지",건물내,행정동코드,CCTV_100m,숙박업소_100m,유흥업소_100m,경찰서_500m,비아파트_25m,취약계층_평균(생활인구),CCTV_100m_std,숙박업소_100m_std,유흥업소_100m_std,경찰서_500m_std,비아파트_25m_std,취약계층_평균(생활인구)_std,범죄종합점수,geometry,수요충족여부
0,0,NODE,POINT(127.00138520146373 37.568187437157185),66847,0,,0,,,,,1114000000,중구,1114015200,주교동,,,,,0,0,,,11140605,2,0,0,0,7,682.0441719,0.2,0,0,0,0.233333333,0.378867675,0.10966197,POINT (127.00138520146373 37.568187437157185),0
1,1,NODE,POINT(127.01697814071575 37.56762896761354),127069,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615,1,0,0,1,5,871.0517579,0.1,0,0,0.25,0.166666667,0.577369307,0.07584208,POINT (127.01697814071575 37.56762896761354),0
2,2,NODE,POINT(126.97646615812025 37.55427380378025),10380,0,,0,,,,,1114000000,중구,1114011800,남대문로5가,,,,,0,0,,,11140540,1,0,0,3,0,1016.201138,0.1,0,0,0.75,0,0.72980969,-0.056562162,POINT (126.97646615812025 37.55427380378025),1
3,3,NODE,POINT(127.01917432263897 37.56617541509709),9255,0,,0,,,,,1114000000,중구,1114016500,황학동,,,,,0,0,,,11140670,1,4,0,0,1,575.0203519,0.1,0.266666667,0,0,0.033333333,0.266467939,0.063599748,POINT (127.01917432263897 37.56617541509709),0
4,4,NODE,POINT(126.96329524184776 37.55797263212856),9627,0,,0,,,,,1114000000,중구,1114017100,중림동,,,,,0,0,,,11140680,4,0,0,1,15,321.2971885,0.4,0,0,0.25,0.5,0,0.0424,POINT (126.96329524184776 37.55797263212856),1
5,5,NODE,POINT(127.01702962175149 37.56724160092801),9254,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615,1,1,0,1,16,871.0517579,0.1,0.066666667,0,0.25,0.533333333,0.577369307,0.17514208,POINT (127.01702962175149 37.56724160092801),1
6,6,NODE,POINT(127.01255341746193 37.55056278923219),127054,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,0,0,1,0,871.0517579,0.1,0,0,0.25,0,0.577369307,0.032675413,POINT (127.01255341746193 37.55056278923219),0
7,7,NODE,POINT(126.96343051064102 37.55763279780897),9626,0,,0,,,,,1114000000,중구,1114017100,중림동,,,,,0,0,,,11140680,3,0,0,1,14,321.2971885,0.3,0,0,0.25,0.466666667,0,0.041166667,POINT (126.96343051064102 37.55763279780897),1
8,8,NODE,POINT(127.01755901845983 37.568111762302394),54518,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615,2,2,0,1,4,871.0517579,0.2,0.133333333,0,0.25,0.133333333,0.577369307,0.068475413,POINT (127.01755901845983 37.568111762302394),1
9,9,NODE,POINT(127.00982529906851 37.55910733994987),8359,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,2,0,1,3,871.0517579,0.1,0.133333333,0,0.25,0.1,0.577369307,0.06724208,POINT (127.00982529906851 37.55910733994987),1
10,10,NODE,POINT(127.00834858597608 37.56722029605638),8172,2,,0,,,,,1114000000,중구,1114014800,을지로6가,,,,,0,0,,,11140590,1,0,0,2,5,938.6870317,0.1,0,0,0.5,0.166666667,0.64840197,0.0303466,POINT (127.00834858597608 37.56722029605638),1
