,Unnamed: 0.1,Unnamed: 0,개방자치단체코드,관리번호,영업상태명,소재지면적,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
0,0,0,3010000,3010000-102-1967-02477,영업/정상,81.8,서울특별시 중구 북창동 120-3번지 ,서울특별시 중구 남대문로1길 12 (북창동),4526,폭스,룸살롱,197956.4873,451034.3275,126.9747691,37.56158477
1,1,1,3010000,3010000-102-1973-02572,영업/정상,98.17,서울특별시 중구 흥인동 15-0 ,서울특별시 중구 퇴계로 417 (흥인동),4570,성동차차차,스텐드바,201503.8491,451514.0405,127.0149197,37.56590821
2,2,2,3010000,3010000-102-1974-02486,영업/정상,98.84,서울특별시 중구 다동 117번지 지하1층 ,서울특별시 중구 남대문로9길 12 (다동,지하1층),4522,2018-08-31 23:59:59,198319.0072,451622.5063,126.9788708,37.56688495
3,3,3,3010000,3010000-102-1974-02622,영업/정상,64.48,서울특별시 중구 신당동 247-11번지 ,서울특별시 중구 퇴계로 386-5 (신당동),4611,신당과촌,극장식당,201223.1868,451410.7622,127.0117428,37.56497808
4,4,4,3010000,3010000-102-1974-02681,영업/정상,483.5,서울특별시 중구 을지로5가 133-1번지 ,서울특별시 중구 을지로38길 20 (을지로5가),4561,천지호텔나이트캬바레,카바레,200225.9831,451511.2628,127.0004557,37.5658843
5,5,5,3010000,3010000-102-1975-02553,영업/정상,185.24,서울특별시 중구 충무로2가 60-3번지 지하1층 ,서울특별시 중구 삼일대로 299, 지하1층 (충무로2가),4537,2018-08-31 23:59:59,198911.8064,451032.3161,126.9855816,37.56156833
6,6,6,3010000,3010000-102-1975-02569,영업/정상,83.67,서울특별시 중구 충무로2가 50-3 1~2층,서울특별시 중구 삼일대로4길 17 (충무로2가),4553,동경비지니스,비어(바)살롱,199055.7048,451096.008,126.9872101,37.56214236
7,7,7,3010000,3010000-102-1976-02558,영업/정상,52.81,서울특별시 중구 중림동 129-38번지 지하1층 ,서울특별시 중구 청파로 425 (중림동),4507,희망,비어(바)살롱,197183.0871,450587.368,126.9660174,37.55755561
8,8,8,3010000,3010000-102-1976-02619,영업/정상,110.55,서울특별시 중구 남산동2가 31-1번지 ,서울특별시 중구 퇴계로20길 2 (남산동2가),4631,젠쿠(BAR),극장식당,198644.069,450827.8618,126.9825517,37.55972585
9,9,9,3010000,3010000-102-1978-02496,영업/정상,68.03,서울특별시 중구 북창동 98-0,서울특별시 중구 남대문로1길 26 (북창동),4526,직장인 노래밤,룸살롱,197945.8254,451102.6517,126.9746482,37.56220033
10,10,10,3010000,3010000-102-1982-02548,영업/정상,108.3,서울특별시 중구 초동 21-2번지 ,서울특별시 중구 을지로14길 30 (초동),4550,축제,비어(바)살롱,199226.8476,451398.6012,126.9891468,37.56486886
11,11,11,3010000,3010000-102-1983-02549,영업/정상,90.25,서울특별시 중구 남대문로5가 63-7,,,수노래빠,비어(바)살롱,197477.0608,450610.7464,126.9693444,37.55776712
12,12,12,3010000,3010000-102-1984-02518,영업/정상,142.28,서울특별시 중구 충무로4가 155-2 ,서울특별시 중구 퇴계로37길 22 (충무로4가),4557,뉴리멤버,룸살롱,199374.9445,451101.6226,126.9908234,37.56219324
13,13,13,3010000,3010000-102-1985-02441,영업/정상,16.71,서울특별시 중구 황학동 371-47번지 ,서울특별시 중구 퇴계로83길 22-10 (황학동),4576,장미,간이주점,201607.8078,451587.0131,127.0160965,37.56656552
14,14,14,3010000,3010000-102-1985-02484,영업/정상,69,서울특별시 중구 황학동 629-0 ,,,못잊어,룸살롱,201767.0854,451555.4778,127.0178993,37.56628111
15,15,15,3010000,3010000-102-1985-02499,영업/정상,94.31,서울특별시 중구 필동1가 10-9번지 ,,,충무노래크럽,룸살롱,199213.2817,451032.5659,126.9889937,37.56157091
16,16,16,3010000,3010000-102-1985-02567,영업/정상,86.25,서울특별시 중구 충무로3가 30-14 ,서울특별시 중구 충무로 21-3 (충무로3가),4555,휘,비어(바)살롱,199282.2568,451198.8262,126.9897742,37.56306896
17,17,17,3010000,3010000-102-1985-02582,영업/정상,51.29,서울특별시 중구 신당동 100-7번지 1층 ,서울특별시 중구 퇴계로78길 6 (신당동, 1층),4577,2020-05-09 02:40:00,201409.5386,451421.1355,127.013852,37.56507129
18,18,18,3010000,3010000-102-1985-02588,영업/정상,19.5,서울특별시 중구 방산동 70-4번지 ,서울특별시 중구 동호로 386 (방산동),4562,재희,스텐드바,200139.5047,451844.3507,126.9994769,37.56888539
19,19,19,3010000,3010000-102-1985-02612,영업/정상,108.23,서울특별시 중구 을지로3가 296-11번지 ,서울특별시 중구 을지로14길 13 (을지로3가),4550,스타,룸살롱,199247.5208,451490.6847,126.9893807,37.56569854
20,20,20,3010000,3010000-102-1985-02645,영업/정상,110.73,서울특별시 중구 을지로4가 109-1 ,서울특별시 중구 을지로33길 33 (을지로4가),4546,그린,극장식당,199821.2248,451658.2965,126.9958743,37.56720904
21,21,21,3010000,3010000-102-1986-02580,영업/정상,98.1,서울특별시 중구 충무로4가 150-0 ,서울특별시 중구 충무로2길 16 (충무로4가),4557,팡팡노래짱,스텐드바,199401.9087,451134.1317,126.9911285,37.56248616
22,22,22,3010000,3010000-102-1986-02621,영업/정상,110.43,서울특별시 중구 황학동 737-0,서울특별시 중구 퇴계로 423-6 (황학동),4576,스타타임,극장식당,201585.646,451516.9947,127.0158455,37.5659347
23,23,23,3010000,3010000-102-1986-02648,영업/정상,99,서울특별시 중구 충무로2가 60-3 지하1층,서울특별시 중구 삼일대로 299 (충무로2가, 지하1층),4537,2021-11-01 22:03:00,198911.8064,451032.3161,126.9855816,37.56156833
24,24,24,3010000,3010000-102-1987-02498,영업/정상,447.74,서울특별시 중구 을지로5가 133-1번지 ,서울특별시 중구 을지로38길 20 (을지로5가),4561,소피아,룸살롱,200225.9831,451511.2628,127.0004557,37.5658843
25,25,25,3010000,3010000-102-1989-02576,영업/정상,430.27,서울특별시 중구 북창동 21-0 ,서울특별시 중구 세종대로 64 (북창동),,나이아가라,룸살롱,197913.7334,451077.0816,126.9742851,37.56196988
26,26,26,3010000,3010000-102-1999-02663,영업/정상,92.4,서울특별시 중구 황학동 730번지 ,서울특별시 중구 퇴계로 429 (황학동),4576,서울관 70/80,카바레,201641.9495,451512.7434,127.0164828,37.5658963
27,27,27,3010000,3010000-102-1999-11796,영업/정상,296,서울특별시 중구 충무로2가 60-3번지 신관지하1층 ,서울특별시 중구 삼일대로 299, 지하1층 (충무로2가),4537,2019-02-28 02:40:00,198911.8064,451032.3161,126.9855816,37.56156833
28,28,28,3010000,3010000-102-1999-11816,영업/정상,91.76,서울특별시 중구 남대문로5가 19-4번지 지상2층 ,서울특별시 중구 세종대로 26 (남대문로5가,지상2층),4527,2018-08-31 23:59:59,197671.9552,450714.5172,126.9715498,37.55870261
29,29,29,3010000,3010000-102-1999-11837,영업/정상,97.15,서울특별시 중구 필동2가 53-0번지 ,서울특별시 중구 퇴계로 226 (필동2가),4624,귀빈노래팡,룸살롱,199652.5966,451038.8914,126.9939659,37.5616282
30,30,30,3010000,3010000-102-1999-11865,영업/정상,60.83,서울특별시 중구 북창동 94-7번지 ,서울특별시 중구 남대문로1길 26-13 (북창동),4526,요꼬하마비지니스,룸살롱,197993.2939,451119.0583,126.9751854,37.56234826
31,31,31,3010000,3010000-102-1999-11913,영업/정상,73.79,서울특별시 중구 오장동 139-8,서울특별시 중구 마른내로 125 (오장동),4547,슈가,룸살롱,200096.3491,451381.7035,126.9989884,37.56471699
32,32,32,3010000,3010000-102-1999-11924,영업/정상,83.23,서울특별시 중구 을지로3가 296-1,서울특별시 중구 충무로 51 (을지로3가),4550,보림7080,스텐드바,199267.4789,451500.9779,126.9896066,37.5657913
33,33,33,3010000,3010000-102-1999-11947,영업/정상,95,서울특별시 중구 저동2가 47-3번지 ,서울특별시 중구 수표로12길 8 (저동2가),4555,발리,룸살롱,199100.4129,451298.4147,126.9877159,37.56396607
34,34,34,3010000,3010000-102-1999-12132,영업/정상,187.34,서울특별시 중구 북창동 20-3 3층 ,,,김미김미,룸살롱,197911.394,451104.0823,126.9742585,37.56221314
35,35,35,3010000,3010000-102-1999-12159,영업/정상,95,서울특별시 중구 을지로2가 163-5 ,서울특별시 중구 을지로 78 (을지로2가),4538,선물,룸살롱,198740.4931,451509.1147,126.9836417,37.56586401
36,36,36,3010000,3010000-102-1999-12187,영업/정상,34.1,서울특별시 중구 오장동 139-17번지 ,서울특별시 중구 마른내로 123 (오장동),4547,명동노래주점뱅크,간이주점,200087.0293,451381.6003,126.9988829,37.56471607
37,37,37,3010000,3010000-102-1999-12212,영업/정상,145.88,서울특별시 중구 광희동1가 182-21,서울특별시 중구 을지로44길 13 (광희동1가),4561,타이밍,룸살롱,200523.2919,451462.6255,127.0038209,37.56544598
38,38,38,3010000,3010000-102-1999-12223,영업/정상,66.61,서울특별시 중구 저동2가 80-5번지 ,서울특별시 중구 수표로 51 (저동2가),4551,라이브노래주점,간이주점,199017.6547,451486.9589,126.9867789,37.56566474
39,39,39,3010000,3010000-102-1999-12241,영업/정상,54.8,서울특별시 중구 충무로3가 57-5번지 ,서울특별시 중구 수표로2길 29 (충무로3가),4554,오렌지 노래클럽,룸살롱,199235.3389,451113.1481,126.9892433,37.56229697
40,40,40,3010000,3010000-102-1999-12277,영업/정상,68.22,서울특별시 중구 다동 50-0번지 ,서울특별시 중구 다동길 17 (다동),4521,킹카노래주점,룸살롱,198191.2382,451735.1001,126.9774243,37.56789915
41,41,41,3010000,3010000-102-1999-12304,영업/정상,73.35,서울특별시 중구 오장동 206-37,서울특별시 중구 마른내로 124 (오장동),4559,차차차노래터,룸살롱,200087.8257,451349.24,126.998892,37.5644245
